요일,이동인구(합),대상연월,주중요일수,평균 이동인구
금,178525,202201,4,44631
목,174911,202201,4,43727
수,171932,202201,4,42983
월,199291,202201,5,39858
일,170838,202201,5,34167
토,182166,202201,5,36433
화,173237,202201,4,43309
금,217171,202206,4,54292
목,260726,202206,5,52145
수,256731,202206,5,51346
월,195892,202206,4,48973
일,168698,202206,4,42174
토,191102,202206,4,47775
화,216132,202206,4,54033
금,196288,202208,4,49072
목,189861,202208,4,47465
수,238372,202208,5,47674
월,219702,202208,5,43940
일,156535,202208,4,39133
토,168160,202208,4,42040
화,225741,202208,5,45148
금,271285,202209,5,54257
목,301484,202209,5,60296
수,244071,202209,4,61017
월,208399,202209,4,52099
일,163499,202209,4,40874
토,183779,202209,4,45944
화,233632,202209,4,58408
금,251703,202207,5,50340
목,191922,202207,4,47980
수,191544,202207,4,47886
월,192642,202207,4,48160
일,198536,202207,5,39707
토,217541,202207,5,43508
화,197070,202207,4,49267
금,182055,202203,4,45513
목,232337,202203,5,46467
수,220924,202203,5,44184
월,181924,202203,4,45481
일,125579,202203,4,31394
토,146292,202203,4,36573
화,221033,202203,5,44206
금,218810,202205,4,54702
목,212877,202205,4,53219
수,223663,202205,4,55915
월,281577,202205,5,56315
일,222486,202205,5,44497
토,195273,202205,4,48818
화,285248,202205,5,57049
금,205276,202302,4,51319
목,191565,202302,4,47891
수,193125,202302,4,48281
월,189601,202302,4,47400
일,162965,202302,4,40741
토,181322,202302,4,45330
화,193178,202302,4,48294
금,300151,202303,5,60030
목,307070,202303,5,61414
수,291830,202303,5,58366
월,246416,202303,4,61604
일,173032,202303,4,43258
토,200598,202303,4,50149
화,249033,202303,4,62258
금,254360,202212,5,50872
목,254122,202212,5,50824
수,201887,202212,4,50471
월,205708,202212,4,51427
일,157211,202212,4,39302
토,220187,202212,5,44037
화,206993,202212,4,51748
금,172472,202202,4,43118
목,166907,202202,4,41726
수,152224,202202,4,38056
월,167334,202202,4,41833
일,128999,202202,4,32249
토,146299,202202,4,36574
화,157941,202202,4,39485
금,258586,202204,5,51717
목,209803,202204,4,52450
수,206154,202204,4,51538
월,207481,202204,4,51870
일,158409,202204,4,39602
토,225248,202204,5,45049
화,209972,202204,4,52493
금,187656,202301,4,46914
목,182712,202301,4,45678
수,182726,202301,4,45681
월,215342,202301,5,43068
일,191471,202301,5,38294
토,154483,202301,4,38620
화,216057,202301,5,43211
금,226608,202210,4,56652
목,231769,202210,4,57942
수,235235,202210,4,58808
월,239149,202210,5,47829
일,202957,202210,5,40591
토,248006,202210,5,49601
화,230216,202210,4,57554
금,224695,202211,4,56173
목,230394,202211,4,57598
수,291139,202211,5,58227
월,228616,202211,4,57154
일,172072,202211,4,43018
토,195147,202211,4,48786
화,292851,202211,5,58570
