날짜,합계,요일,평균기온(℃),최고기온(℃),최저기온(℃),일교차,대상연월,평균 이동인구
2022-01-04,507,1,-2.5,1.0,-5.6,6.6,202201,43309
2022-01-05,448,2,-2.8,1.9,-7.8,9.7,202201,42983
2022-01-06,499,3,-2.2,3.3,-5.9,9.2,202201,43727
2022-01-07,354,4,-1.6,4.5,-5.9,10.4,202201,44631
2022-01-11,568,1,-7.4,0.3,-10.3,10.6,202201,43309
2022-01-12,470,2,-7.7,-3.4,-11.3,7.9,202201,42983
2022-01-13,450,3,-6.4,-3.1,-8.9,5.8,202201,43727
2022-01-14,367,4,-4.8,1.3,-10.1,11.4,202201,44631
2022-01-18,351,1,-5.6,-0.7,-9.9,9.2,202201,43309
2022-01-19,397,2,-5.3,-2.7,-7.7,5.0,202201,42983
2022-01-20,408,3,-5.0,0.9,-9.8,10.7,202201,43727
2022-01-21,430,4,-2.7,4.6,-8.7,13.3,202201,44631
2022-01-25,380,1,2.8,4.5,1.9,2.6,202201,43309
2022-01-26,433,2,1.3,6.8,-1.9,8.7,202201,42983
2022-01-27,354,3,-1.1,4.0,-4.6,8.6,202201,43727
2022-01-28,283,4,-2.7,2.1,-5.9,8.0,202201,44631
2022-02-03,347,3,-3.4,0.4,-6.9,7.3,202202,41726
2022-02-04,337,4,-5.2,-0.7,-8.2,7.5,202202,43118
2022-02-08,407,1,-0.1,5.6,-4.1,9.7,202202,39485
2022-02-09,399,2,1.0,7.2,-4.3,11.5,202202,38056
2022-02-10,322,3,1.4,6.7,-3.2,9.9,202202,41726
2022-02-11,349,4,2.9,8.8,-2.6,11.4,202202,43118
2022-02-15,322,1,-4.7,-1.3,-7.7,6.4,202202,39485
2022-02-16,410,2,-7.3,-4.1,-9.6,5.5,202202,38056
2022-02-17,339,3,-6.2,-0.5,-10.7,10.2,202202,41726
2022-02-18,353,4,-1.2,5.7,-8.0,13.7,202202,43118
2022-02-22,347,1,-4.5,0.5,-8.0,8.5,202202,39485
2022-02-23,364,2,-5.6,-0.6,-10.0,9.4,202202,38056
2022-02-24,377,3,-2.4,3.7,-8.5,12.2,202202,41726
2022-02-25,279,4,3.0,8.4,-3.6,12.0,202202,43118
2022-03-02,582,2,3.5,8.8,-2.3,11.1,202203,44184
2022-03-03,691,3,5.8,12.4,0.9,11.5,202203,46467
2022-03-04,628,4,6.9,14.6,0.6,14.0,202203,45513
2022-03-08,774,1,6.0,12.3,1.1,11.2,202203,44206
2022-03-10,779,3,9.3,15.8,4.2,11.6,202203,46467
2022-03-11,590,4,11.2,18.4,5.1,13.3,202203,45513
2022-03-15,790,1,7.2,13.3,2.3,11.0,202203,44206
2022-03-16,694,2,10.3,16.8,3.6,13.2,202203,44184
2022-03-17,760,3,10.7,15.1,7.8,7.3,202203,46467
2022-03-18,632,4,7.5,9.6,5.5,4.1,202203,45513
2022-03-22,786,1,7.1,13.6,1.1,12.5,202203,44206
2022-03-23,725,2,6.2,8.2,4.9,3.3,202203,44184
2022-03-24,609,3,8.2,12.4,3.9,8.5,202203,46467
2022-03-25,572,4,12.0,17.2,6.3,10.9,202203,45513
2022-03-29,737,1,9.7,15.6,3.3,12.3,202203,44206
2022-03-30,663,2,10.8,15.7,5.9,9.8,202203,44184
2022-03-31,529,3,10.9,14.7,7.6,7.1,202203,46467
2022-04-01,588,4,9.2,14.9,4.5,10.4,202204,51717
2022-04-05,706,1,10.3,15.8,4.9,10.9,202204,52493
2022-04-06,727,2,11.7,17.0,8.0,9.0,202204,51538
2022-04-07,702,3,10.9,15.7,7.4,8.3,202204,52450
2022-04-08,502,4,12.9,20.0,5.1,14.9,202204,51717
2022-04-12,806,1,19.3,26.4,15.9,10.5,202204,52493
2022-04-13,622,2,13.1,15.9,12.0,3.9,202204,51538
2022-04-14,752,3,13.2,15.3,11.4,3.9,202204,52450
2022-04-15,613,4,13.3,19.3,7.5,11.8,202204,51717
2022-04-19,699,1,15.2,22.1,8.9,13.2,202204,52493
2022-04-20,714,2,15.7,22.1,9.7,12.4,202204,51538
2022-04-21,719,3,16.3,22.7,9.6,13.1,202204,52450
2022-04-22,562,4,15.0,16.8,13.2,3.6,202204,51717
2022-04-26,693,1,21.9,28.7,17.0,11.7,202204,52493
2022-04-27,577,2,17.7,23.9,12.6,11.3,202204,51538
2022-04-28,596,3,18.2,25.9,11.6,14.3,202204,52450
2022-04-29,522,4,13.4,16.5,10.7,5.8,202204,51717
2022-05-03,647,1,14.8,20.8,9.1,11.7,202205,57049
2022-05-04,572,2,17.8,25.2,10.0,15.2,202205,55915
2022-05-06,507,4,19.6,25.6,13.7,11.9,202205,54702
2022-05-10,751,1,19.9,26.3,13.6,12.7,202205,57049
2022-05-11,600,2,19.7,25.2,16.6,8.6,202205,55915
2022-05-12,557,3,20.9,28.1,14.1,14.0,202205,53219
2022-05-13,503,4,19.4,25.2,15.0,10.2,202205,54702
2022-05-17,665,1,20.0,27.4,13.0,14.4,202205,57049
2022-05-18,546,2,20.0,25.4,15.7,9.7,202205,55915
2022-05-19,579,3,19.9,24.2,16.1,8.1,202205,53219
2022-05-20,455,4,20.6,25.8,15.6,10.2,202205,54702
2022-05-24,712,1,22.9,30.2,16.7,13.5,202205,57049
2022-05-25,555,2,21.0,26.7,16.7,10.0,202205,55915
2022-05-26,659,3,18.7,23.5,14.1,9.4,202205,53219
2022-05-27,535,4,20.0,25.6,16.0,9.6,202205,54702
2022-05-31,632,1,20.7,27.2,14.2,13.0,202205,57049
2022-06-02,548,3,21.5,26.9,17.1,9.8,202206,52145
2022-06-03,489,4,24.5,32.6,18.7,13.9,202206,54292
2022-06-05,135,6,22.7,27.0,20.2,6.8,202206,42174
2022-06-07,626,1,20.6,25.1,15.1,10.0,202206,54033
2022-06-08,609,2,21.2,25.8,16.2,9.6,202206,51346
2022-06-09,750,3,20.9,24.5,18.5,6.0,202206,52145
2022-06-10,632,4,20.9,26.6,17.2,9.4,202206,54292
2022-06-14,635,1,21.5,27.1,17.7,9.4,202206,54033
2022-06-15,300,2,17.5,20.1,14.9,5.2,202206,51346
2022-06-16,428,3,20.3,24.8,17.6,7.2,202206,52145
2022-06-17,349,4,22.5,28.1,16.5,11.6,202206,54292
2022-06-21,377,1,26.5,32.6,21.2,11.4,202206,54033
